Virus GENBANK accession,Realm,Kingdom,Phylum,Class,Order,Family,Genus,Species
BK013822,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Pohlevirus,Pohlevirus arvicola
BK014051,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Pohlevirus,Pohlevirus caenicola
BK013916,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Pohlevirus,Pohlevirus chorovivens
CASDWV010004379,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Pohlevirus,Pohlevirus edaphenecus
CASDWV010000806,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Pohlevirus,Pohlevirus limihabitans
CASDWV010002159,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Pohlevirus,Pohlevirus messivivens
CASDWV010002295,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Pohlevirus,Pohlevirus neoarvadaptatum
CASDWV010000075,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Pohlevirus,Pohlevirus pedovivens
CASDWV010001476,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Poncivirus,Poncivirus caenihabitans
BK013355,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Poncivirus,Poncivirus insecticola
CASDWV010000821,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Poncivirus,Poncivirus pelenecus
CASDWV010000122,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Poncivirus,Poncivirus terricola
CASDWV010005055,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Prihavirus,Prihavirus agrivicinum
CASDWV010001045,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Prihavirus,Prihavirus asiadaptatum
CASDWV010002566,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Prihavirus,Prihavirus edaphocola
CASDWV010002168,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Prihavirus,Prihavirus edaphovivens
CASDWV010000830,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Prihavirus,Prihavirus segeticola
CASDWV010000782,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Prihovirus,Prihovirus limivicinum
CASDWV010002499,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Prisdovirus,Prisdovirus caenihabitans
CASDWV010000716,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Prosdovirus,Prosdovirus pedohabitans
CASDWV010004593,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Pruncivirus,Pruncivirus chthonohabitans
BK014217,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Psimevirus,Psimevirus caenivicinum
CASDWV010001484,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Psimevirus,Psimevirus choradaptatum
BK013800,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Psimevirus,Psimevirus pedocola
CASDWV010003152,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Psimevirus,Psimevirus segetivivens
BK014075,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Pudlivirus,Pudlivirus limivicinum
CASDWV010001741,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Punlevirus,Punlevirus solihabitans
AF059242,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Qubevirus,Qubevirus durum
FJ483841,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Qubevirus,Qubevirus escherichienecus
EF068134,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Qubevirus,Qubevirus faecium
CASDWV010000738,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Quihndavirus,Quihndavirus agradaptatum
CASDWV010003656,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Quihndavirus,Quihndavirus edaphocola
CASDWV010000284,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Quihndavirus,Quihndavirus edaphohabitans
CASDWV010002188,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Quihndavirus,Quihndavirus radicivivens
CASDWV010004984,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Quihndavirus,Quihndavirus solicola
CASDWV010004686,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Quihndavirus,Quihndavirus telluricola
