Order	Family	Subfamily	Genus	Virus name (s)	Virus GENBANK accession	Baltimore Group	Virus sequence complete	Genetic code table	Taxonomic grouping
Autographivirales	Autotranscriptaviridae	Studiervirinae	Aarhusvirus	Dickeya phage Dagda	MH059632	I	Complete genome	1	Autotranscriptaviridae
Autographivirales	Autotranscriptaviridae	Studiervirinae	Aarhusvirus	Dickeya phage_Katbat	MH807813	I	Complete genome	1	Autotranscriptaviridae
	Avsunviroidae		Avsunviroid	avocado sunblotch viroid	J02020		Complete genome	1	Avsunviroidae
	Avsunviroidae		Elaviroid	eggplant latent viroid	AJ536613		Complete genome	1	Avsunviroidae
Baphyvirales	Bacilladnaviridae		Aberdnavirus	Avonheates virus SG_61	OM154946		Complete genome	1	Bacilladnaviridae
Baphyvirales	Bacilladnaviridae		Diatodnavirus	Chaetoceros setoensis DNA virus	AB781089		Complete genome	1	Bacilladnaviridae
Lefavirales	Baculoviridae		Alphabaculovirus	Adoxophyes honmai nucleopolyhedrovirus	AP006270	I	Complete genome	1	Baculoviridae
Lefavirales	Baculoviridae		Alphabaculovirus	Agrotis ipsilon multiple nucleopolyhedrovirus	EU839994	I	Complete genome	1	Baculoviridae
Sobelivirales	Barnaviridae		Barnavirus	Mushroom bacilliform virus	U07551	IV	Complete genome	1	Barnaviridae
	Bartogtaviriformidae		Bartonegtaviriform	Bartonella gene transfer agent	BX897699 (1602076.1680868)	I	Partial genome (non-compliant)	1	Bartogtaviriformidae
	Basaltiviridae		Tsigisvirus	Bathyarchaeota virus JdFR006	PQ111734	I	Complete genome	1	Basaltiviridae
	Basaltiviridae		Tsigisvirus	archaeal virus JdFR013	PQ111735	I	Complete genome	1	Basaltiviridae
Ortervirales	Belpaoviridae		Semotivirus	Drosophila melanogaster Bel virus	U23420		Complete genome	1	Belpaoviridae
Ortervirales	Belpaoviridae		Semotivirus	Caenorhabditis elegans Cer13 virus	LK928904 (2253.10260)		Complete genome	1	Belpaoviridae
	Berryhillviridae		Altadenavirus	Arthrobacter phage Altadena	OR521058	I	Complete genome	1	Berryhillviridae
	Berryhillviridae		Altadenavirus	Arthrobacter phage Bumble	MT498055	I	Complete genome	1	Berryhillviridae
Tymovirales	Betaflexiviridae	Quinvirinae	Banmivirus	Miscanthus virus M	ON986335	IV	Complete genome	1	Betaflexiviridae
Tymovirales	Betaflexiviridae	Quinvirinae	Banmivirus	banana mild mosaic virus	AF314662	IV	Complete genome	1	Betaflexiviridae
Gokushovirales	Betagokushoviridae		Bdellomicrovirus	Bdellovibrio phage phiMH2K	AF306496		Complete genome	1	Betagokushoviridae
Gokushovirales	Betagokushoviridae		Chlamydiaduovirus	Chlamydia phage 2	AJ270057		Complete genome	1	Betagokushoviridae
	Bicaudaviridae		Bicaudavirus	Acidianus two-tailed virus	AJ888457	I	Complete genome	1	Bicaudaviridae
	Blefusviridae		Wecalvirus	Danakil Nanohaloarchaeota tailed virus 3	PQ827567	I	Complete genome	1	Blefusviridae
Timlovirales	Blumeviridae		Alehndavirus	ssRNA phage AVE020	BK013364	IV	Coding-complete genome	1	Blumeviridae
