Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
PM2577_R2_unpaired	(50, 75933.0)	(52, 74205.0)	(54, 70924.0)	(56, 69015.0)	(58, 67635.0)	(60, 68680.0)	(62, 68394.0)	(64, 66819.0)	(66, 67223.0)	(68, 68646.0)	(70, 74689.0)	(72, 74769.0)	(74, 87567.0)	(76, 93790.0)	(78, 101883.0)	(80, 108811.0)	(82, 116623.0)	(84, 119080.0)	(86, 127735.0)	(88, 139206.0)	(90, 142452.0)	(92, 140245.0)	(94, 143351.0)	(96, 163133.0)	(98, 580942.0)	(100, 3072711.0)	
PM2601_R1_paired	(50, 119319.0)	(52, 120603.0)	(54, 116983.0)	(56, 124100.0)	(58, 135044.0)	(60, 135596.0)	(62, 143799.0)	(64, 161864.0)	(66, 157256.0)	(68, 182857.0)	(70, 201575.0)	(72, 224596.0)	(74, 253388.0)	(76, 297528.0)	(78, 339662.0)	(80, 371139.0)	(82, 420431.0)	(84, 431164.0)	(86, 481144.0)	(88, 524851.0)	(90, 558880.0)	(92, 608281.0)	(94, 623201.0)	(96, 835265.0)	(98, 3321126.0)	(100, 23673753.0)	
PM2601_R1_unpaired	(50, 52442.0)	(52, 50414.0)	(54, 48139.0)	(56, 46012.0)	(58, 47671.0)	(60, 50836.0)	(62, 49894.0)	(64, 50462.0)	(66, 48182.0)	(68, 52269.0)	(70, 56780.0)	(72, 82413.0)	(74, 65853.0)	(76, 63633.0)	(78, 54696.0)	(80, 57252.0)	(82, 58964.0)	(84, 55371.0)	(86, 54504.0)	(88, 54821.0)	(90, 57519.0)	(92, 50692.0)	(94, 50838.0)	(96, 70630.0)	(98, 276437.0)	(100, 1734818.0)	
PM2601_R2_paired	(50, 98900.0)	(52, 101778.0)	(54, 94715.0)	(56, 92964.0)	(58, 105382.0)	(60, 118225.0)	(62, 126530.0)	(64, 132230.0)	(66, 139521.0)	(68, 156812.0)	(70, 170139.0)	(72, 176118.0)	(74, 223697.0)	(76, 260825.0)	(78, 296062.0)	(80, 325908.0)	(82, 359136.0)	(84, 391596.0)	(86, 450323.0)	(88, 496733.0)	(90, 550923.0)	(92, 587815.0)	(94, 626434.0)	(96, 774844.0)	(98, 2980848.0)	(100, 24724947.0)	
PM2601_R2_unpaired	(50, 38809.0)	(52, 36750.0)	(54, 35607.0)	(56, 34252.0)	(58, 33447.0)	(60, 34979.0)	(62, 34469.0)	(64, 33806.0)	(66, 34239.0)	(68, 34185.0)	(70, 34934.0)	(72, 34080.0)	(74, 37201.0)	(76, 39853.0)	(78, 42747.0)	(80, 45095.0)	(82, 45122.0)	(84, 47781.0)	(86, 51489.0)	(88, 53704.0)	(90, 56952.0)	(92, 55985.0)	(94, 58444.0)	(96, 70191.0)	(98, 256786.0)	(100, 1655820.0)	
PM2616_R1_paired	(50, 85570.0)	(52, 84668.0)	(54, 89244.0)	(56, 101360.0)	(58, 123405.0)	(60, 134866.0)	(62, 143972.0)	(64, 141885.0)	(66, 157040.0)	(68, 177987.0)	(70, 199331.0)	(72, 213705.0)	(74, 279738.0)	(76, 325072.0)	(78, 357340.0)	(80, 347849.0)	(82, 351846.0)	(84, 360571.0)	(86, 373979.0)	(88, 397321.0)	(90, 370136.0)	(92, 349049.0)	(94, 302533.0)	(96, 361119.0)	(98, 1052561.0)	(100, 8581034.0)	
PM2616_R1_unpaired	(50, 65263.0)	(52, 63026.0)	(54, 65274.0)	(56, 73886.0)	(58, 87180.0)	(60, 96693.0)	(62, 97802.0)	(64, 99072.0)	(66, 101392.0)	(68, 111310.0)	(70, 114399.0)	(72, 141188.0)	(74, 128991.0)	(76, 112772.0)	(78, 90963.0)	(80, 97549.0)	(82, 103179.0)	(84, 89537.0)	(86, 106007.0)	(88, 101349.0)	(90, 96897.0)	(92, 29105.0)	(94, 26529.0)	(96, 43761.0)	(98, 237604.0)	(100, 2215675.0)	
PM2616_R2_paired	(50, 72685.0)	(52, 68575.0)	(54, 68653.0)	(56, 79245.0)	(58, 101248.0)	(60, 112298.0)	(62, 125290.0)	(64, 125019.0)	(66, 139665.0)	(68, 156409.0)	(70, 175283.0)	(72, 175060.0)	(74, 254965.0)	(76, 287500.0)	(78, 334390.0)	(80, 319695.0)	(82, 329338.0)	(84, 342386.0)	(86, 353811.0)	(88, 380148.0)	(90, 376361.0)	(92, 358316.0)	(94, 315213.0)	(96, 352655.0)	(98, 1163050.0)	(100, 8895923.0)	
PM2616_R2_unpaired	(50, 19089.0)	(52, 17188.0)	(54, 16921.0)	(56, 17339.0)	(58, 18219.0)	(60, 19102.0)	(62, 20387.0)	(64, 20667.0)	(66, 22774.0)	(68, 22306.0)	(70, 22997.0)	(72, 21663.0)	(74, 28078.0)	(76, 36739.0)	(78, 37737.0)	(80, 34273.0)	(82, 33563.0)	(84, 35965.0)	(86, 36272.0)	(88, 36413.0)	(90, 37572.0)	(92, 28959.0)	(94, 26633.0)	(96, 30150.0)	(98, 118904.0)	(100, 865246.0)	
PM2622_R1_paired	(50, 139942.0)	(52, 142341.0)	(54, 131354.0)	(56, 142089.0)	(58, 170605.0)	(60, 183296.0)	(62, 186140.0)	(64, 190601.0)	(66, 187526.0)	(68, 240864.0)	(70, 242835.0)	(72, 266781.0)	(74, 332933.0)	(76, 354736.0)	(78, 405524.0)	(80, 425718.0)	(82, 473349.0)	(84, 511304.0)	(86, 576529.0)	(88, 619081.0)	(90, 672686.0)	(92, 645042.0)	(94, 635791.0)	(96, 858376.0)	(98, 2317850.0)	(100, 20124033.0)	
PM2622_R1_unpaired	(50, 43866.0)	(52, 42246.0)	(54, 39227.0)	(56, 38979.0)	(58, 42676.0)	(60, 43759.0)	(62, 45082.0)	(64, 43912.0)	(66, 43028.0)	(68, 50238.0)	(70, 50373.0)	(72, 81177.0)	(74, 62802.0)	(76, 51749.0)	(78, 33809.0)	(80, 32831.0)	(82, 34476.0)	(84, 33995.0)	(86, 35960.0)	(88, 37028.0)	(90, 38846.0)	(92, 34238.0)	(94, 34738.0)	(96, 45550.0)	(98, 154006.0)	(100, 981278.0)	
PM2622_R2_paired	(50, 118685.0)	(52, 120449.0)	(54, 107084.0)	(56, 113968.0)	(58, 139951.0)	(60, 157280.0)	(62, 167422.0)	(64, 181609.0)	(66, 174025.0)	(68, 217778.0)	(70, 219825.0)	(72, 232730.0)	(74, 325232.0)	(76, 343604.0)	(78, 400176.0)	(80, 413854.0)	(82, 452546.0)	(84, 498158.0)	(86, 568991.0)	(88, 611579.0)	(90, 691631.0)	(92, 644821.0)	(94, 651419.0)	(96, 778436.0)	(98, 3102809.0)	(100, 19743264.0)	
PM2622_R2_unpaired	(50, 31619.0)	(52, 28894.0)	(54, 26816.0)	(56, 26076.0)	(58, 26421.0)	(60, 27042.0)	(62, 27492.0)	(64, 27467.0)	(66, 26984.0)	(68, 27411.0)	(70, 28627.0)	(72, 28742.0)	(74, 34906.0)	(76, 37482.0)	(78, 42145.0)	(80, 43341.0)	(82, 45462.0)	(84, 48014.0)	(86, 50084.0)	(88, 53925.0)	(90, 55921.0)	(92, 51904.0)	(94, 52004.0)	(96, 62734.0)	(98, 235770.0)	(100, 1170467.0)	
PM3050_R1_paired	(50, 12014.0)	(51, 13860.0)	(52, 13112.0)	(53, 12910.0)	(54, 13403.0)	(55, 12764.0)	(56, 14391.0)	(57, 13262.0)	(58, 16914.0)	(59, 15897.0)	(60, 16451.0)	(61, 17061.0)	(62, 19013.0)	(63, 19112.0)	(64, 19424.0)	(65, 18020.0)	(66, 21826.0)	(67, 20219.0)	(68, 20721.0)	(69, 21625.0)	(70, 24031.0)	(71, 29183.0)	(72, 39217.0)	(73, 88346.0)	(74, 238879.0)	(75, 1003520.0)	(76, 2275095.0)
PM3050_R1_unpaired	(50, 15602.0)	(51, 16564.0)	(52, 15448.0)	(53, 14576.0)	(54, 15169.0)	(55, 13303.0)	(56, 14866.0)	(57, 13092.0)	(58, 15283.0)	(59, 13447.0)	(60, 13291.0)	(61, 13555.0)	(62, 14440.0)	(63, 13966.0)	(64, 13864.0)	(65, 12084.0)	(66, 14153.0)	(67, 12938.0)	(68, 12890.0)	(69, 12387.0)	(70, 13055.0)	(71, 12754.0)	(72, 13862.0)	(73, 18232.0)	(74, 41151.0)	(75, 136516.0)	(76, 262948.0)
PM3050_R2_paired	(50, 18242.0)	(51, 20438.0)	(52, 19480.0)	(53, 21563.0)	(54, 18067.0)	(55, 22419.0)	(56, 19909.0)	(57, 22914.0)	(58, 20687.0)	(59, 26607.0)	(60, 25268.0)	(61, 28894.0)	(62, 22723.0)	(63, 31705.0)	(64, 28364.0)	(65, 32826.0)	(66, 30993.0)	(67, 29018.0)	(68, 29632.0)	(69, 30711.0)	(70, 30791.0)	(71, 40356.0)	(72, 49220.0)	(73, 90664.0)	(74, 260116.0)	(75, 1036426.0)	(76, 2022237.0)
PM3050_R2_unpaired	(50, 7865.0)	(51, 8631.0)	(52, 7982.0)	(53, 8586.0)	(54, 6810.0)	(55, 8358.0)	(56, 7156.0)	(57, 7577.0)	(58, 6759.0)	(59, 8060.0)	(60, 7301.0)	(61, 7872.0)	(62, 6228.0)	(63, 8144.0)	(64, 7088.0)	(65, 7371.0)	(66, 6544.0)	(67, 6542.0)	(68, 6419.0)	(69, 6199.0)	(70, 5910.0)	(71, 7059.0)	(72, 7101.0)	(73, 9497.0)	(74, 18167.0)	(75, 58469.0)	(76, 93185.0)
PM3051_R1_paired	(50, 7771.0)	(51, 9128.0)	(52, 8726.0)	(53, 8676.0)	(54, 9079.0)	(55, 8316.0)	(56, 9491.0)	(57, 8540.0)	(58, 10890.0)	(59, 10134.0)	(60, 10202.0)	(61, 10726.0)	(62, 11880.0)	(63, 11526.0)	(64, 12392.0)	(65, 10983.0)	(66, 13721.0)	(67, 12734.0)	(68, 13332.0)	(69, 13285.0)	(70, 14466.0)	(71, 15973.0)	(72, 24155.0)	(73, 74404.0)	(74, 194358.0)	(75, 656198.0)	(76, 1658809.0)
