Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
PM2622_R2_unpaired	(1.0, 9.0478985772438)	(2.0, 1.2677317566697557)	(3.0, 0.7557721386005676)	(4.0, 0.5479237164549722)	(5.0, 0.4354146581994519)	(6.0, 0.3625536689843137)	(7.0, 0.3374808564816666)	(8.0, 0.28800326447238317)	(9.0, 0.2541919201649695)	('>10', 4.975485250748212)	('>50', 3.7917447590058972)	('>100', 17.91486600731277)	('>500', 12.838743632856422)	('>1k', 31.19035442837185)	('>5k', 8.76556811582225)	('>10k+', 7.2262672486107125)
PM3050_R1_paired	(1.0, 19.796025485914505)	(2.0, 1.6080002378050535)	(3.0, 0.7427763540567188)	(4.0, 0.5027302159338132)	(5.0, 0.36846898239859166)	(6.0, 0.2909634419006244)	(7.0, 0.2668230358222621)	(8.0, 0.22035131103730504)	(9.0, 0.2084758765508876)	('>10', 4.194716262296982)	('>50', 3.039695269471788)	('>100', 14.125450423142249)	('>500', 9.487881062630757)	('>1k', 26.92251599846451)	('>5k', 10.684972925978018)	('>10k+', 7.540153116595947)
PM3050_R1_unpaired	(1.0, 23.163682162324644)	(2.0, 1.9489903413768364)	(3.0, 1.0868018800189223)	(4.0, 0.7489009128587419)	(5.0, 0.5952280181216152)	(6.0, 0.5364014980413738)	(7.0, 0.4871757213719309)	(8.0, 0.46217873275500776)	(9.0, 0.47523870004018964)	('>10', 10.452109944723938)	('>50', 7.393718257263575)	('>100', 24.71070958085956)	('>500', 11.528372616882356)	('>1k', 14.373175903398398)	('>5k', 0.6846201678654089)	('>10k+', 1.3526955620975025)
PM3050_R2_paired	(1.0, 20.165747492053573)	(2.0, 1.3611499725245688)	(3.0, 0.5723924548951673)	(4.0, 0.34386630151356357)	(5.0, 0.232527715500972)	(6.0, 0.18849452283119095)	(7.0, 0.1420802925175108)	(8.0, 0.13635078551238997)	(9.0, 0.11998440089969885)	('>10', 3.099559054515393)	('>50', 3.463825259420456)	('>100', 19.367967975516617)	('>500', 13.042120786952893)	('>1k', 27.00082789559132)	('>5k', 5.8312722787332945)	('>10k+', 4.9318328110213745)
PM3050_R2_unpaired	(1.0, 25.64211960197858)	(2.0, 1.7085373978957887)	(3.0, 1.0665037382296259)	(4.0, 0.8928060609935303)	(5.0, 0.81348412172238)	(6.0, 0.8528555952292284)	(7.0, 0.7254772985894251)	(8.0, 0.815221098494741)	(9.0, 0.7503739656599321)	('>10', 21.288097825927125)	('>50', 13.359667348485551)	('>100', 24.856137612485252)	('>500', 4.2240380142531135)	('>1k', 3.0046803200557233)	('>5k', 0.0)	('>10k+', 0.0)
PM3051_R1_paired	(1.0, 7.976709034030111)	(2.0, 1.1018942713371707)	(3.0, 0.6221244619133283)	(4.0, 0.44680832954304184)	(5.0, 0.35120622002945184)	(6.0, 0.31636844741978815)	(7.0, 0.2569392897370768)	(8.0, 0.22578111527949643)	(9.0, 0.19357263944729622)	('>10', 4.560438773498081)	('>50', 3.586037960884668)	('>100', 17.17524183387885)	('>500', 13.052337162492133)	('>1k', 32.596988186238235)	('>5k', 9.315681675960898)	('>10k+', 8.221870598310375)
PM3051_R1_unpaired	(1.0, 10.914038476441696)	(2.0, 1.8932620167597847)	(3.0, 1.0633149046862183)	(4.0, 0.7585915464125551)	(5.0, 0.5812261752100821)	(6.0, 0.544817290272394)	(7.0, 0.4749239288257477)	(8.0, 0.4971494328840954)	(9.0, 0.37900333236340455)	('>10', 11.193465701806845)	('>50', 8.239374527525262)	('>100', 30.20562977866615)	('>500', 15.009526260456587)	('>1k', 16.929985275603563)	('>5k', 1.3156913520856148)	('>10k+', 0.0)
PM3051_R2_paired	(1.0, 8.480952364627626)	(2.0, 0.997536131598192)	(3.0, 0.4624306165497607)	(4.0, 0.28006005438802567)	(5.0, 0.20604810154862818)	(6.0, 0.15541512415595932)	(7.0, 0.1304142334541194)	(8.0, 0.13179870692375825)	(9.0, 0.11699084410585504)	('>10', 3.730424139267271)	('>50', 4.157046475157385)	('>100', 24.33885135003007)	('>500', 16.246811290331124)	('>1k', 33.59468458873323)	('>5k', 5.366676260022663)	('>10k+', 1.6038597191063393)
PM3051_R2_unpaired	(1.0, 14.127937177969235)	(2.0, 1.9084344566483997)	(3.0, 1.35902247722093)	(4.0, 1.1924205481952237)	(5.0, 1.1629376225530341)	(6.0, 1.0276905509563232)	(7.0, 1.100695890641745)	(8.0, 1.040794073463963)	(9.0, 1.0024194718344464)	('>10', 26.92633480435973)	('>50', 16.171150723267644)	('>100', 28.78048323919076)	('>500', 2.714301090868249)	('>1k', 1.485377872830314)	('>5k', 0.0)	('>10k+', 0.0)
PM3153_R1_paired	(1.0, 11.733546767141611)	(2.0, 1.2223542023062295)	(3.0, 0.6711021011532057)	(4.0, 0.4502394306442863)	(5.0, 0.35293318934221096)	(6.0, 0.28809959065227847)	(7.0, 0.24746738367321772)	(8.0, 0.23755405014348985)	(9.0, 0.21324477913138934)	('>10', 4.80048175758233)	('>50', 3.8549919927196292)	('>100', 17.639597905806216)	('>500', 13.415905758826524)	('>1k', 33.68164266957932)	('>5k', 6.705487080559426)	('>10k+', 4.485351340738633)
