Sample,Mapping_Tool,Assembler,Read_Type,File,Num_Contigs,Total_Length,Max_Length,Min_Length,Avg_Length,N50,GC_Percent
PM2524,Bowtie,rnaSPAdes,unpaired_R2,hard_filtered_transcripts,135,47015,348.3,171,2413,326,50.54
PM2528,Bowtie,rnaSPAdes,unpaired_R2,transcripts,13,6798,522.9,131,1433,1160,68.90
PM2528,Bowtie,rnaSPAdes,unpaired_R2,soft_filtered_transcripts,18,7351,408.4,99,1433,1160,67.24
PM2528,Bowtie,rnaSPAdes,unpaired_R2,hard_filtered_transcripts,9,6231,692.3,162,1433,1160,66.58
PM2539,Bowtie,rnaSPAdes,unpaired_R2,transcripts,156,44897,287.8,132,1320,277,50.20
PM2539,Bowtie,rnaSPAdes,unpaired_R2,soft_filtered_transcripts,248,57675,232.6,107,1320,215,50.30
PM2539,Bowtie,rnaSPAdes,unpaired_R2,hard_filtered_transcripts,80,31549,394.4,160,1320,468,52.28
PM2577,Bowtie,rnaSPAdes,unpaired_R2,transcripts,215,64338,299.2,136,2183,281,49.70
PM2577,Bowtie,rnaSPAdes,unpaired_R2,soft_filtered_transcripts,357,84211,235.9,107,2183,201,50.22
PM2577,Bowtie,rnaSPAdes,unpaired_R2,hard_filtered_transcripts,91,42923,471.7,157,2183,672,52.46
PM2601,Bowtie,rnaSPAdes,unpaired_R2,transcripts,75,26389,351.9,149,1969,433,51.04
PM2601,Bowtie,rnaSPAdes,unpaired_R2,soft_filtered_transcripts,97,29407,303.2,108,1969,303,50.62
PM2601,Bowtie,rnaSPAdes,unpaired_R2,hard_filtered_transcripts,41,20403,497.6,195,1969,753,53.21
PM2616,Bowtie,rnaSPAdes,unpaired_R2,transcripts,134,34640,258.5,136,2282,238,50.42
PM2616,Bowtie,rnaSPAdes,unpaired_R2,soft_filtered_transcripts,195,43494,223.0,107,2282,213,49.58
PM2616,Bowtie,rnaSPAdes,unpaired_R2,hard_filtered_transcripts,67,22921,342.1,155,2282,327,53.19
PM2622,Bowtie,rnaSPAdes,unpaired_R2,transcripts,68,18086,266.0,138,2415,239,50.04
PM2622,Bowtie,rnaSPAdes,unpaired_R2,soft_filtered_transcripts,109,23889,219.2,108,2415,201,49.87
PM2622,Bowtie,rnaSPAdes,unpaired_R2,hard_filtered_transcripts,35,12385,353.9,152,2415,322,53.23
PM3050,Bowtie,rnaSPAdes,unpaired_R2,transcripts,24,8655,360.6,113,1392,606,64.54
PM3050,Bowtie,rnaSPAdes,unpaired_R2,soft_filtered_transcripts,33,9648,292.4,87,1392,523,61.62
PM3050,Bowtie,rnaSPAdes,unpaired_R2,hard_filtered_transcripts,17,7660,450.6,166,1392,655,65.39
PM3051,Bowtie,rnaSPAdes,unpaired_R2,transcripts,19,7772,409.1,111,1162,604,63.47
PM3051,Bowtie,rnaSPAdes,unpaired_R2,soft_filtered_transcripts,25,8483,339.3,98,1162,604,61.61
PM3051,Bowtie,rnaSPAdes,unpaired_R2,hard_filtered_transcripts,12,6811,567.6,149,1162,690,64.04
PM3183,Bowtie,rnaSPAdes,unpaired_R2,transcripts,14,6964,497.4,151,1453,632,67.79
PM3183,Bowtie,rnaSPAdes,unpaired_R2,soft_filtered_transcripts,18,7391,410.6,93,1453,632,65.23
PM3183,Bowtie,rnaSPAdes,unpaired_R2,hard_filtered_transcripts,10,6333,633.3,182,1453,745,63.60
PM2469,Bowtie,MEGAhit,unpaired_R2,final.contigs,17,7790,458.2,200,1092,flag=1,0.00
PM2486,Bowtie,MEGAhit,unpaired_R2,final.contigs,66,31236,473.3,204,1824,flag=3,0.00
PM2494,Bowtie,MEGAhit,unpaired_R2,final.contigs,31,17142,553.0,224,2357,flag=3,0.00
PM2497,Bowtie,MEGAhit,unpaired_R2,final.contigs,51,24869,487.6,238,2297,flag=1,0.00
PM2524,Bowtie,MEGAhit,unpaired_R2,final.contigs,109,41558,381.3,201,2413,flag=1,0.00
PM2528,Bowtie,MEGAhit,unpaired_R2,final.contigs,9,5983,664.8,277,1241,flag=1,0.00
PM2539,Bowtie,MEGAhit,unpaired_R2,final.contigs,56,24789,442.7,233,1188,flag=3,0.00
PM2577,Bowtie,MEGAhit,unpaired_R2,final.contigs,54,26610,492.8,233,2728,flag=3,0.00
PM2601,Bowtie,MEGAhit,unpaired_R2,final.contigs,41,19876,484.8,204,1946,flag=3,0.00
PM2616,Bowtie,MEGAhit,unpaired_R2,final.contigs,61,21366,350.3,200,2276,flag=3,0.00
PM2622,Bowtie,MEGAhit,unpaired_R2,final.contigs,28,10458,373.5,208,2190,flag=3,0.00
PM3050,Bowtie,MEGAhit,unpaired_R2,final.contigs,12,6818,568.2,205,1400,flag=1,0.00
PM3051,Bowtie,MEGAhit,unpaired_R2,final.contigs,9,6548,727.6,206,1659,flag=1,0.00
PM3183,Bowtie,MEGAhit,unpaired_R2,final.contigs,9,6588,732.0,220,1678,flag=1,0.00
